datetime,reason,weight,is_member,channel_id,author_name,message,processed_msg
2022-02-10 21:03:48,name_2_words_msg_jp,0,False,UCu7gZd1B4Bv89-LgdiCDG7Q,_ yuuki_,ふぶきんぐとそれ以外でも勝てなさそう,['ふぶきんぐとそれ以外でも勝てなさそう']
2022-02-10 21:05:08,name_2_words_msg_jp,0,False,UCpWMCjeJ8WaWihDziNhw_hQ,アルファルド alphard,産毛生えてるだけ俺らとは大違いやな,['産毛生えてるだけ俺らとは大違いやな']
2022-02-10 21:06:07,id_in_block_list,0,False,UCu7gZd1B4Bv89-LgdiCDG7Q,_ yuuki_,ここはお約束ｗ,['ここはお約束ｗ']
2022-02-10 21:06:33,slow_mode_hit,0,False,UCgJgjIDtZm27VJd4fOlrR4w,M-H,悲鳴助かる,['悲鳴助かる']
2022-02-10 21:06:33,slow_mode_hit,0,False,UCgJgjIDtZm27VJd4fOlrR4w,M-H,悲鳴助かる,['悲鳴助かる']
2022-02-10 21:07:02,name_2_words_msg_jp,0,False,UC_ZOTuwszmM0TrdjR9YVRtw,Bee Dee,みんなの鼓膜を壊すいちゃんたすかる,['みんなの鼓膜を壊すいちゃんたすかる']
2022-02-10 21:07:22,id_in_block_list,0,False,UCpWMCjeJ8WaWihDziNhw_hQ,アルファルド alphard,通過儀礼なってるやんw,['通過儀礼なってるやんw']
2022-02-10 21:08:23,name_2_words_msg_jp,0,False,UCcZHDyIhsRlXJN6KdAqBBqw,Badit Vitun,もともとは韓国領だったが、日本の植民地支配から、日本が勝手に領有権を主張しだした。現在は国際的にも韓国領と認識されている。 ,['もともとは韓国領だったが、日本の植民地支配から、日本が勝手に領有権を主張しだした。現在は国際的にも韓国領と認識されている。']
2022-02-10 21:08:24,name_2_words_msg_jp,0,False,UCspNNVyuRhWHzdZfgWm3X7A,Moth Darcie,あくたんはソロマスで思いっきり勢い付けて次のライブまでサボっていい土壌を作っただけだから ,['あくたんはソロマスで思いっきり勢い付けて次のライブまでサボっていい土壌を作っただけだから']
2022-02-10 21:08:24,name_2_words_msg_jp,0,False,UCTBcwQ1jsfDfrTGoYYdQ94Q,Jasmine Greenh,このために普段から擁護サイドにいると言っても過言ではない ,['このために普段から擁護サイドにいると言っても過言ではない']
2022-02-10 21:08:25,name_2_words_msg_jp,0,False,UCfDRklR6-7D4haXKXmyZO7A,Ward Tiggs,オリックスは同じ関西のチームなのに関西メディアにスルーされて不人気 ,['オリックスは同じ関西のチームなのに関西メディアにスルーされて不人気']
2022-02-10 21:08:26,name_2_words_msg_jp,0,False,UCbfYqhJiiWHOMQwQ68N2SsQ,Արմեն mnni,ちょここよコラボは相手をドン引きさせた方が勝ちなのかよ ,['ちょここよコラボは相手をドン引きさせた方が勝ちなのかよ']
2022-02-10 21:08:27,name_2_words_msg_jp,0,False,UCBucBVASrfjurNk6IpMy_SA,Michael Torres,野うさぎはフレアより自分達の方がぺっさんに近いと思ってる ,['野うさぎはフレアより自分達の方がぺっさんに近いと思ってる']
2022-02-10 21:08:28,name_2_words_msg_jp,0,False,UCQ9gbqTfIqvwZgC9Z_odvmg,Wyer Schwandermann, 作詞作曲オリ曲でアルバム出したいらしいししきりにアイドル目指したいって言ってるし ,['作詞作曲オリ曲でアルバム出したいらしいししきりにアイドル目指したいって言ってるし']
2022-02-10 21:08:28,name_2_words_msg_jp,0,False,UCx96s3ChY_rUJDuQwS1lcOQ,Desima Bunnellg,ぺこみこ曲ぺこみこ案件やってリスナー熱下がってからあまり出さなくなった ,['ぺこみこ曲ぺこみこ案件やってリスナー熱下がってからあまり出さなくなった']
2022-02-10 21:08:28,name_2_words_msg_jp,0,False,UCn0dbQZjujSbD0dPW5PE4eA,Sol Daine,日本語不自由とオーナーへの愛の言葉でー4pで4p出場できるぞ ,['日本語不自由とオーナーへの愛の言葉でー4pで4p出場できるぞ']
2022-02-10 21:08:29,name_2_words_msg_jp,0,False,UCPNNy11a7-0-FJ_zj_14lFw,Valaki Jonta,ターでの振る舞いを見ればわかるだろうこういう経緯で,['ターでの振る舞いを見ればわかるだろうこういう経緯で']
2022-02-10 21:08:29,name_2_words_msg_jp,0,False,UCcooWDAJVeCby-_i6xU9Kdg,Lola Colejhg,集まりじゃないのにこんなスレタイつけるな」「そもそもお前ら本気でそんなこと思ってるのか？」って ,['集まりじゃないのにこんなスレタイつけるな」「そもそもお前ら本気でそんなこと思ってるのか？」って']
2022-02-10 21:08:30,name_2_words_msg_jp,0,False,UCSxhtlTwFz5lL-ynJxU9bcA,Simnim mullo,ホロライブって企画も演者も全部丸パクリだなw ,['ホロライブって企画も演者も全部丸パクリだなw']
2022-02-10 21:08:30,name_2_words_msg_jp,0,False,UCs5PJIRE9IxG2FOTEhUo2Vg,Javier Weekes,そのままシャワー介護したら100000だ ,['そのままシャワー介護したら100000だ']
2022-02-10 21:08:31,name_2_words_msg_jp,0,False,UCz_8e6ZodbSj6QpCWL-7pPQ,Jasmine Greenb,「国民資産」４・７％増の１京１８９２兆円…過去最高を更新 ,['「国民資産」４・７％増の１京１８９２兆円…過去最高を更新']
2022-02-10 21:08:33,name_2_words_msg_jp,0,False,UCzAc9QWZC3pPGTWQE6YRFiA,Sherlin Blook,リスナーからしたら配信中毒者を追うのが一番なんだよね ,['リスナーからしたら配信中毒者を追うのが一番なんだよね']
2022-02-10 21:08:33,name_2_words_msg_jp,0,False,UCGLbjCsr-RcmotTYDuGPGpg,Christian Ortiz,山田は箱ゲーの義務配信はまずやらないタイプ ,['山田は箱ゲーの義務配信はまずやらないタイプ']
2022-02-10 21:08:34,name_2_words_msg_jp,0,False,UCYXlMfRkgoClJohpI7a7XCA,Théo lena,1つのプラットフォームに依存し過ぎた結果がこれだよ ,['1つのプラットフォームに依存し過ぎた結果がこれだよ']
2022-02-10 21:08:34,name_2_words_msg_jp,0,False,UCPL8F6BlLHkg-Ql-eVNwMSw,Nelson Weist,韓国に続きオランダでもAppleがサードパーティ決済を認める方向へ。,['韓国に続きオランダでもAppleがサードパーティ決済を認める方向へ。']
2022-02-10 21:08:37,name_2_words_msg_jp,0,False,UCVAvTgP8c9bqdmIYSUP6xMQ,Dylan Woods,すいちゃんはみこちに限らず裏の事あんまり話さないぞ ,['すいちゃんはみこちに限らず裏の事あんまり話さないぞ']
2022-02-10 21:08:37,name_2_words_msg_jp,0,False,UCilSIXt7_coQd_Xvup9qcuA,Gabriela Ferguson,やっぱ声だとこよーらとかねねちって声優だな ,['やっぱ声だとこよーらとかねねちって声優だな']
2022-02-10 21:08:37,name_2_words_msg_jp,0,False,UClnEZYzPO-hVMuYdmA0Reog,Josue Borgen,大学でも韓国人留学生いるし社会人になってから会うこともあるよな普通 ,['大学でも韓国人留学生いるし社会人になってから会うこともあるよな普通']
